setting,qid,level,qtype,question,gold_answer,gold_ids,retrieved_ids,prediction,prompt_tokens,n_paragraphs
baseline,5adfb78f5542995ec70e9081,hard,bridge,"Who wrote the novel that the movie directed by Stanley Kubrick that was sampled in the album ""Where Blood and Fire Bring Rest"" was based on?",Stephen King,5 7,5 7 6 8 1,Stephen King,773,10
baseline,5adc6e035542994650320cec,hard,bridge,"The 2014 All-Pac-12 Conference football team featured players from the team led by which second-year head coach, who led his team to the conference title?",Mark Helfrich,0 6,0 5 8 6 3,Mark Helfrich,872,10
baseline,5a778cae55429949eeb29eeb,hard,bridge,Who is younger Chris Gould or Robbie Gould ?,Chris Gould,6 9,9 6 2 1 4,Chris Gould,576,10
baseline,5ab95a63554299743d22eb06,hard,bridge,Who was a student of Rolls Gracie and ran the Gracie Humaitá school in Rio de Janeiro?,Royler Gracie,2 9,5 2 9 0 6,Royler Gracie,675,10
baseline,5a7b47765542992d025e67d8,hard,bridge,What sport do The Basham Brothers and Doug Basham have in common?,wrestling,3 5,5 3 9 6 1,wrestling,833,10
baseline,5a72a47d55429901807daf1f,hard,bridge,Arundel Castle was damaged during a war between which two groups?,"Parliamentarians (""Roundheads"") and Royalists (""Cavaliers"")",6 8,8 5 6 7 1,English Civil War,661,10
baseline,5ae4a2b25542995ad6573de0,hard,bridge,Red Mountain is a film that centers on an attempt by a group of what group of Civil War rangers?,pro-Confederate,8 9,8 4 9 7 2,Quantrill's Raiders,709,10
baseline,5a712c4b5542994082a3e622,hard,bridge,"What heritage site, known for a British explorer, is listed Seventeen Seventy Australia?",Captain Cook's Landing Place,7 9,8 7 6 9 4,Seventeen Seventy,604,10
baseline,5a8c2adc554299240d9c20a9,hard,bridge,Wade Watts is the uncle of a politican who played college footbal for which team ?,the Oklahoma Sooners,3 8,8 3 4 5 1,University of Tennessee,740,10
baseline,5a886886554299206df2b258,hard,bridge,"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition,3 8,8 3 2 1 9,FIFA Women's World Cup,637,10
baseline,5ae638865542992ae0d1628c,hard,bridge,"Who created the 2003 remake of the 1983 overhead view, vehicular combat game developed by Bally Midway?",Adam Dawes,6 9,6 3 7 4 1,no,582,10
baseline,5a7662745542992db9473786,hard,bridge,Who founded the collective which released the album Messe I.X-VI.X?,Kristoffer Rygg,3 8,8 5 4 7 3,Kristoffer Rygg,899,10
baseline,5ae5621655429908b63265fc,hard,bridge,"Musical artist Diabolic and Vinnie Paz, who was featured on Diabolic's second studio album Fightin' Words, are both what type of musicians?",rapper,3 5,3 4 5 0 2,rapper,980,10
baseline,5ab66a3555429954757d3290,hard,bridge,2006 KNVB Cup Final had two goals scored by a player of what nationality?,Dutch,0 5,0 7 3 5 4,no,638,10
baseline,5ae2c8b05542992decbdcd9d,hard,bridge,What is the birthplace of YouTube's 2016 overview featured creator Wengie?,"Guangzhou, China",4 8,8 4 7 1 5,Guangzhou,895,10
baseline,5abfdfcb5542997d642958fe,hard,bridge,"Double Dragon starred the actor and martial artist who played which character in ""Brotherhood of the Wolf""?",Mani,3 8,3 8 4 0 9,Mark Dacascos,825,10
baseline,5ae0d5335542990adbacf674,hard,bridge,Who created the show that featured Triumph the Insult Comic Dog?,"Robert Smigel, Michael Koman and David Feldman",5 7,5 7 2 0 4,Robert Smigel,707,10
baseline,5ab42d5755429942dd415eaf,hard,bridge,"""Lost!"" is a song by a British rock band formed in what year?",1996,2 7,2 1 7 4 0,1996,844,10
baseline,5abbf43d5542993f40c73c2f,hard,comparison,Which band The Innocence Mission or Starflyer 59 was formed first ?,The Innocence Mission,3 5,3 5 4 1 2,The Innocence Mission,783,10
baseline,5a7f9cb55542995d8a8ddec1,hard,comparison,IN what year were both Franz Ferdinand and Sunrise Avenue formed?,2002,0 9,0 9 2 7 5,2002,884,10
baseline,5ade653f55429975fa854ebb,hard,bridge,"What concert tour headlined by Coal Chamber in 1999 was named after the popular hit song by the Puerto Rican singer Ricky Martin, spanish for ""the crazy life""?",Livin' la Vida Loca,0 9,0 7 9 6 8,Livin La Vida Loco,542,10
baseline,5ae6097c55429929b0807a9a,hard,bridge,The Sentinelese language is the language of people of one of which Islands in the Bay of Bengal?,Andaman Islands,1 9,1 9 4 3 5,North Sentinel Island,759,10
baseline,5a7280925542991f9a20c4a1,hard,comparison,Pokémon: Arceus and the Jewel of Life and Totally Spies! The Movie both released in what year?,2009,4 5,5 4 6 0 1,2009,834,10
baseline,5ade15ae5542990dbb2f7f4c,hard,bridge,"What month was the album released whose lead single was ""Domino Dancing""?",October,1 6,6 4 9 1 5,November,532,10
baseline,5a88a1bb5542997e5c09a64c,hard,bridge,Who directed a 2006 film where Ron Perkins character plays the manager of a hotel?,Christopher Nolan,0 2,0 2 7 1 9,Colorado Springs,792,10
baseline,5a857cf35542994c784ddb1d,hard,bridge,What is the name of the city located near the historical region known as Margianḗ in Greek?,Mary,1 4,4 0 1 2 5,Merv,797,10
baseline,5a7f6fd75542992e7d278cfa,hard,bridge,"Which Canadian rock band released a song called ""Counterparts"" and had a drummer who was inducted into the Modern Drummer Hall of Fame?",Rush,4 6,4 8 6 9 7,Rush,808,10
baseline,5a75ac415542992d0ec05fdb,hard,bridge,The M104 155mm Projectile was specifically designed to carry about 11.7 pounds of what prototypical substance?,mustard gas,2 9,2 3 0 7 6,sulfur mustard H or HD,588,10
baseline,5a8230af554299676cceb227,hard,comparison,Have filmmakers Enrico Cocozza and Mira Nair both been nominated for awards for their work?,yes,1 8,8 1 5 0 4,no,780,10
baseline,5a799dfb5542994bb9457029,hard,bridge,Former race car driver Jeff Wood made his CART debut at which 1983 Nissan/Datsun-sponsored race?,Caesars Palace Grand Prix,1 2,1 2 9 3 4,Caesars Palace Grand Prix,1133,10
baseline,5a81624d5542995ce29dcbf1,hard,bridge,The constituency which is represented by the 2015 elected Minister for Universities and Science is represented in what wing of the UK parliament?,House of Commons,0 7,0 9 7 6 2,House of Commons,557,10
baseline,5a80f793554299260e20a1e1,hard,bridge,What British company was involved in recording the audiobook for the book known as The Golden Compass in North America?,BBC,1 7,9 1 7 4 0,Cavalcade,611,10
baseline,5adccdd55542992c1e3a2408,hard,bridge,"Meaning ""reddish water"" in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,5 7,7 6 5 1 2,Waimea Bay,616,10
baseline,5ab92f52554299131ca422a9,hard,bridge,"Of what ethnicity is the founder of the Orchestra which debuted on January 1, 1988?",Dutch,4 8,8 4 6 0 7,Dutch,786,10
baseline,5a8315c055429966c78a6b2d,hard,bridge,"Which player played for Nova Southeastern Sharks, MIlwaukee Brewers and Houston Astros?",Michael Bruce Fiers,5 7,5 1 7 9 8,Chris Carter (right-handed hitter),642,10
baseline,5a89f58f5542992e4fca84af,hard,bridge,"What station is 3 miles away from the railway station that was used in the film ""Brief Encounter""?",Borwick railway station,1 3,3 8 1 7 2,Borwick railway station,733,10
baseline,5a8b63fa55429950cd6afcd7,hard,bridge,What is the nickname of the city where Darling's Waterfront Pavilion is located?,"""Queen City""",2 6,2 8 4 0 3,Bangor,739,10
baseline,5ab56f7a554299637185c59a,hard,bridge,"Not Richard, But Dick was an album by the band formed in what city?",Philadelphia,1 5,1 8 4 6 9,Beverly,926,10
baseline,5ae0d9c555429924de1b719a,hard,bridge,"Van Andel Institute was founded in part by what American businessman, who was best known as co-founder of the Amway Corporation?",Jay Van Andel,2 6,2 8 0 5 3,Jay Van Andel,678,10
baseline,5ae5eb0d554299546bf82fd2,hard,bridge,"Who was the lead prosecutor for the soilder court-martialed for the premeditated attack at Camp Pennsylvania, Kuwait?",Colonel Michael Mulligan,1 2,2 1 0 3 5,Michael Mulligan,645,10
baseline,5a7f48e15542992e7d278ce6,hard,bridge,Brad Elterman is a professional photographer who addressed the rock 'n' roll lifestyle of a band that became noted for what?,its eclectic mix of musical styles,1 3,3 0 8 5 1,Hollywood,827,10
baseline,5abac27855429966062415ff,hard,bridge,"In which year was this American figure skater, actress, and sports commentator coached by Richard Callaghan for Olympic games, the U. S. national champion?",1997,4 5,4 5 2 3 6,1998,858,10
baseline,5abe9f7d5542997ec76fd331,hard,bridge,What football league did the person that Wilfred Bamnjo's nickname come from play and work at?,Swansea City,2 3,2 8 3 9 6,Hong Kong,706,10
baseline,5ae5be86554299546bf82f40,hard,bridge,"The actor of Professor Sprout in ""Harry Potter"" acted as a mother in a sitcom. In that sitcom, what was the daughter's name?",Fran,4 8,8 0 4 1 3,Frog Stone,782,10
baseline,5ae0819155429924de1b70ea,hard,comparison,Which documentary Hacking Democracy or The Memory of Justice was produced first ?,The Memory of Justice,4 9,9 4 7 0 3,The Memory of Justice,676,10
baseline,5a8b6efd5542997f31a41d2b,hard,bridge,what are the low sea stacks in the Shetland Islands called?,Ramna Stacks,0 9,1 0 9 7 5,Ramna Stacks,463,10
baseline,5a8b20335542996c9b8d5fb3,hard,bridge,What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,shortest player ever to play in the National Basketball Association,2 8,2 7 9 0 6,no,1126,10
baseline,5ab624b855429953192ad26d,hard,bridge,To Catch a Predator was devoted to impersonating people below the age of consent for which in North America varies by what?,jurisdiction,3 9,9 3 0 4 6,Ages of consent in North America.,592,10
baseline,5ae376a35542990afbd1e163,hard,comparison,Are Peter Balakian and James Der Derian both teachers?,yes,2 4,4 2 1 9 6,no,536,10
baseline,5a8704f8554299211dda2ba4,hard,bridge,What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,Kingdom of the Isles,1 8,1 8 9 0 6,Kingdom of the Isles,1000,10
baseline,5ae82ae555429952e35eaa71,hard,bridge,"Martin Patterson ""Pat"" Hingle was a close friend of an actor who achieved success in what Western TV series?",Rawhide,2 3,3 2 8 0 9,Clint Eastwood,1096,10
baseline,5a78ce5d55429974737f78ac,hard,bridge,The southernmost administrative region of Denmark is well-known for creating what products?,beer and soft drinks,1 8,8 1 0 5 7,Faxe Bryggeri,548,10
baseline,5a7d27f05542995ed0d1660d,hard,bridge,"In what country does the director of Shirin in Love, live?",Iranian,5 6,5 6 2 4 1,Iran,563,10
baseline,5ae81b895542997ec272770c,hard,bridge,The maternal grandmother of Princess Marie Cécile of Prussia was born in which year ?,1876,0 8,0 1 7 3 8,1942,852,10
